Module,Description,Documentation
__future__,Future statement definitions,https://docs.python.org/3/library/__future__.html#module-__future__
__main__,"The environment where top-level code is run. Covers command-line
interfaces, import-time behavior, and ``__name__ == '__main__'``.",https://docs.python.org/3/library/__main__.html#module-__main__
_thread,Low-level threading API.,https://docs.python.org/3/library/_thread.html#module-_thread
_tkinter,A binary module that contains the low-level interface to Tcl/Tk.,https://docs.python.org/3/library/tkinter.html#module-_tkinter
abc,Abstract base classes according to :pep:`3119`.,https://docs.python.org/3/library/abc.html#module-abc
aifc,Read and write audio files in AIFF or AIFC format.,https://docs.python.org/3/library/aifc.html#module-aifc
argparse,Command-line option and argument parsing library.,https://docs.python.org/3/library/argparse.html#module-argparse
array,Space efficient arrays of uniformly typed numeric values.,https://docs.python.org/3/library/array.html#module-array
ast,Abstract Syntax Tree classes and manipulation.,https://docs.python.org/3/library/ast.html#module-ast
asyncio,Asynchronous I/O.,https://docs.python.org/3/library/asyncio.html#module-asyncio
atexit,Register and execute cleanup functions.,https://docs.python.org/3/library/atexit.html#module-atexit
audioop,Manipulate raw audio data.,https://docs.python.org/3/library/audioop.html#module-audioop
base64,"RFC 4648: Base16, Base32, Base64 Data Encodings;
Base85 and Ascii85",https://docs.python.org/3/library/base64.html#module-base64
bdb,Debugger framework.,https://docs.python.org/3/library/bdb.html#module-bdb
binascii,"Tools for converting between binary and various ASCII-encoded binary
representations.",https://docs.python.org/3/library/binascii.html#module-binascii
bisect,Array bisection algorithms for binary searching.,https://docs.python.org/3/library/bisect.html#module-bisect
builtins,The module that provides the built-in namespace.,https://docs.python.org/3/library/builtins.html#module-builtins
bz2,Interfaces for bzip2 compression and decompression.,https://docs.python.org/3/library/bz2.html#module-bz2
calendar,"Functions for working with calendars, including some emulation
of the Unix cal program.",https://docs.python.org/3/library/calendar.html#module-calendar
cgi,Helpers for running Python scripts via the Common Gateway Interface.,https://docs.python.org/3/library/cgi.html#module-cgi
cgitb,Configurable traceback handler for CGI scripts.,https://docs.python.org/3/library/cgitb.html#module-cgitb
chunk,Module to read IFF chunks.,https://docs.python.org/3/library/chunk.html#module-chunk
cmath,Mathematical functions for complex numbers.,https://docs.python.org/3/library/cmath.html#module-cmath
cmd,Build line-oriented command interpreters.,https://docs.python.org/3/library/cmd.html#module-cmd
code,Facilities to implement read-eval-print loops.,https://docs.python.org/3/library/code.html#module-code
codecs,Encode and decode data and streams.,https://docs.python.org/3/library/codecs.html#module-codecs
codeop,Compile (possibly incomplete) Python code.,https://docs.python.org/3/library/codeop.html#module-codeop
collections,Container datatypes,https://docs.python.org/3/library/collections.html#module-collections
collections.abc,Abstract base classes for containers,https://docs.python.org/3/library/collections.abc.html#module-collections.abc
colorsys,Conversion functions between RGB and other color systems.,https://docs.python.org/3/library/colorsys.html#module-colorsys
compileall,Tools for byte-compiling all Python source files in a directory tree.,https://docs.python.org/3/library/compileall.html#module-compileall
concurrent.futures,,https://docs.python.org/3/library/concurrent.futures.html#module-concurrent.futures
configparser,Execute computations concurrently using threads or processes.,https://docs.python.org/3/library/configparser.html#module-configparser
contextlib,Configuration file parser.,https://docs.python.org/3/library/contextlib.html#module-contextlib
contextvars,Utilities for with-statement contexts.,https://docs.python.org/3/library/contextvars.html#module-contextvars
copy,Context Variables,https://docs.python.org/3/library/copy.html#module-copy
copyreg,Shallow and deep copy operations.,https://docs.python.org/3/library/copyreg.html#module-copyreg
cProfile,Register pickle support functions.,https://docs.python.org/3/library/profile.html#module-cProfile
crypt,,https://docs.python.org/3/library/crypt.html#module-crypt
csv,(Unix),https://docs.python.org/3/library/csv.html#module-csv
ctypes,The crypt() function used to check Unix passwords.,https://docs.python.org/3/library/ctypes.html#module-ctypes
curses,Write and read tabular data to and from delimited files.,https://docs.python.org/3/library/curses.html#module-curses
